danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song,track_id,artist,event,type,popularity
0.185,0.841,5,-22.828,1,0.0569,0.0345,0.863,0.787,0.0202,88.729,159753,4,Thundertalk,3laBFjOEcZRgmlv2StZlDX,Meditation Thunder,Rain,Weather,61
0.0765,0.86,6,-19.085,1,0.0546,0.000115,0.936,0.324,0.0206,171.805,159010,4,L'acqua Cade,0ZRTBESw4BjX22iOcU3kRx,Piogga,Rain,Weather,61
0.15,0.998,4,-18.276,0,0.0873,0.0157,0.933,0.974,0.00723,105.149,132667,3,El Tiempo Central,2AtxBBgHbuuJFrv8h3U7ls,Tormenta de la selva,Rain,Weather,61
0.0814,0.611,10,-25.657,0,0.07,0.00134,0.00157,0.455,0.0221,85.317,160125,4,Empyrean,3yIzotqlArHD8rDU4uGLZl,Stormy Nights And Days,Rain,Weather,61
0.076,0.897,6,-21.396,1,0.0587,0.0144,0.929,0.606,0.026,51.892,137462,4,FX waves,7qRF1aoqAOOhb58IHhtkt6,Wet Rain Season,Rain,Weather,61
0.107,0.346,8,-28.767,1,0.106,0.00323,0.976,0.22,0.119,154.348,156008,3,Weather Man,13yZWnQQjc3VrHXh16ujky,Storm Is Building Up,Rain,Weather,61
0.0804,0.624,6,-25.236,1,0.0555,0.0825,0.88,0.402,0.0306,170.408,127062,4,The Natural Healing,68S9h5bDYVNinuyGRz1rLv,Super Soft Rain with Super Soft Thunder,Rain,Weather,61
0.0831,0.879,5,-22.131,1,0.0621,0.00138,0.922,0.696,0.0164,71.864,130775,3,VDWW,7lxs4cWZvIUrjA1iSWpCot,Light Rain Thunder,Rain,Weather,61
0.158,0.721,10,-26.002,1,0.0538,0.000743,0.897,0.574,0.0283,99.349,168000,4,Waters Of Deluge,3GIlON6gSvqaNJYm87uWsM,A Rainy Day At The Park,Rain,Weather,61
0.207,0.696,10,-20.473,0,0.073,5.23e-06,0.96,0.392,0.0171,104.487,216000,3,Calm Storm,3rxnLHNAstvd01Yw7rTdkX,Sky Is Rumbling,Rain,Weather,60
0.0805,0.226,5,-19.451,1,0.0572,0.000419,0.967,0.619,0.0335,85.303,159753,4,Nature's Noise,03gfve0EKLdBoQCGZDkbet,Calm Thunder,Rain,Weather,60
0.174,0.779,1,-24.874,1,0.0526,0.000449,0.936,0.431,0.0272,91.122,216000,4,humidum,7fESGsifBt7AydWSYYfn5e,Omnius Storm,Rain,Weather,60
0.127,0.815,2,-22.048,1,0.0698,0.00193,0.861,0.931,0.0148,144.644,139333,5,Tromentas Naturales,0O87UiGy34Kn82mdNkbZp3,Tormenta ligera,Rain,Weather,60
0.09,0.102,11,-27.101,0,0.0729,0.00242,0.958,0.497,0.0234,88.863,181398,4,Tellus Recordings,4cRYFKTQaFg95xiMF0izlG,Soft Thunder,Rain,Weather,60
0.171,0.496,1,-29.777,1,0.0907,4.28e-05,0.92,0.389,0.0386,118.452,180000,4,Tempest,1WvCx016HUVL6opRQgQRmM,Heavy Storm,Rain,Weather,60
0.059,0.619,1,-26.684,1,0.0757,0.000103,0.933,0.397,0.0297,68.917,216000,5,R. Guru,5tu0yyz3KaVGWSxs6RchPA,Storms Eye,Rain,Weather,60
